,Geneid,Total_count,zero_counts,one_count,two_counts,more_than_two_counts
2441,OR6B2_10487,0,106,0,0,0
2449,OR51A2_10499,0,106,0,0,0
2490,OR6N1_10552,0,106,0,0,0
2527,OR5D14_10609,0,106,0,0,0
2542,OR11A1_10625,0,106,0,0,0
2543,OR12D2_10626,0,106,0,0,0
2545,OR9G9_10629,0,106,0,0,0
2620,OR5K4_10726,0,106,0,0,0
2621,OR6C68_10727,0,106,0,0,0
2623,OR13C4_10732,0,106,0,0,0
2626,OR8K5_10736,0,106,0,0,0
2668,OR4F6_10786,0,106,0,0,0
2675,OR52N5_10794,0,106,0,0,0
2729,OR2S2_10858,0,106,0,0,0
2762,OR2A4_10898,10,97,8,1,0
2845,OR5T1_10990,0,106,0,0,0
2852,OR5D13_10998,0,106,0,0,0
2860,OR8G1_11009,0,106,0,0,0
2864,OR4K2_11013,0,106,0,0,0
2956,OR5D18_11125,0,106,0,0,0
2957,OR10G9_11126,0,106,0,0,0
2959,OR13C9_11128,0,106,0,0,0
2960,OR2W3_11129,0,106,0,0,0
2961,OR5A2_11130,0,106,0,0,0
2962,OR4C13_11131,0,106,0,0,0
2963,OR11L1_11132,0,106,0,0,0
3017,OR5V1_11199,0,106,0,0,0
3047,OR3A1_11234,0,106,0,0,0
3052,OR4K1_11240,0,106,0,0,0
3092,OR3A3_11287,0,106,0,0,0
3096,OR4D1_11291,0,106,0,0,0
3097,OR52A1_11292,0,106,0,0,0
3110,OR5H1_11310,0,106,0,0,0
3335,OR4X2_11584,0,106,0,0,0
3350,OR4N2_11599,0,106,0,0,0
3526,OR10J1_11808,0,106,0,0,0
3702,OR5R1_12041,0,106,0,0,0
3703,OR5T2_12042,0,106,0,0,0
3704,OR5T3_12043,0,106,0,0,0
3705,OR5M1_12044,0,106,0,0,0
3706,OR5M3_12045,0,106,0,0,0
3707,OR5M9_12046,0,106,0,0,0
3728,OR52B4_12075,0,106,0,0,0
3729,OR52A5_12076,0,106,0,0,0
3730,OR52E6_12077,0,106,0,0,0
3731,OR52E4_12078,0,106,0,0,0
3732,OR52E2_12079,0,106,0,0,0
3734,OR52I1_12081,0,106,0,0,0
3735,OR52E8_12082,0,106,0,0,0
3740,OR13C5_12087,0,106,0,0,0
3785,OR2G3_12142,0,106,0,0,0
3791,OR14C36_12150,0,106,0,0,0
3823,OR10H1_12192,0,106,0,0,0
